Key,Value
ocado,Groceries
waitrose,Groceries
asda,Groceries
bakery,Groceries
butchers,Groceries
m&s,Groceries
tesco,Groceries
sainsbury's,Groceries
outdoorwear,Clothing
craghoppers,Clothing
jojo,Clothing
vinted,Clothing
tradeinn,Clothing
levi's,Clothing
teemill,Clothing
boden,Clothing
white stuff,Clothing
marks & spencer,Groceries
google,Mobile
bambino mio,Childcare
itsu,Eating out
trainline,Car and travel cost
dvsa,Car and travel cost
aa driving,Car and travel cost
coffee,Tea and coffee out
cafe,Tea and coffee out
hotel chocolat,Tea and coffee out
debenhams,Home and garden
john lewis,Home and garden
dunelm,Home and garden
tfl,Car and travel cost
taxis,Car and travel cost
amazon,Miscellaneous
b & m,Home and garden
b&m,Home and garden
t.k.maxx,Home and garden
tkmaxx.com,Home and garden
oxfam,Home and garden
dogs trust,Home and garden
robert dyas,Home and garden
screwfix,Home and garden
garden trading,Home and garden
starbucks,Tea and coffee out
deliveroo,Eating out
wagamama,Eating out
nando's,Eating out
ice cream,Eating out
greggs,Eating out
cineworld,Entertainment
ebay,Home and garden
tea people,Tea and coffee out
linkedin,Training
abebooks,Entertainment
audible,Entertainment
steam,Entertainment
everyone active,Entertainment
sea life,Entertainment
david lloyd,Entertainment
the works,Entertainment
zettle,Entertainment
square inc,Entertainment
sumup,Entertainment
climbing centre,Entertainment
eb,Entertainment
champneys,Entertainment
the whisky exchange,Entertainment
tickets,Entertainment
boots,Heath and medical costs
pharmacy,Heath and medical costs
sephora,Heath and medical costs
superdrug,Heath and medical costs
hairdressing,Heath and medical costs
wickes,Home and garden
toolstation,Home and garden
axa,Insurance
nationwide,Housing
bt group,Utilities
Eon,Utilities
district council,Utilities
united utilities,Utilities
goose nursery,Childcare
o2,Mobile
window cleaning experts,Home and garden